,instructor,quality,difficulty,take_again,timestamp,course_number,department,course_name,questions,%response,contributions,avg_response_time,enrolled,%instructor_response,%active,semester
203,Michael George ,2,5,No,"Oct 15th, 2018",2800, CS,CS 2800,1101,96,4073,17,424,78,66,FA19
204,Michael George ,2,5,No,"Oct 15th, 2018",2800, CS,CS 2800,1058,100,6008,9,417,77,63,FA18
205,Michael George ,5,4,No,"Aug 31st, 2018",2800, CS,CS 2800,1198,97,4700,20,419,85,60,SP19
206,Michael George ,5,4,No,"Aug 31st, 2018",2800, CS,CS 2800,1554,96,4808,37,396,85,72,SP20
207,Michael George ,5,4,No,"Aug 31st, 2018",2800, CS,CS 2800,1101,96,4073,17,424,78,66,FA19
208,Michael George ,5,4,No,"Aug 31st, 2018",2800, CS,CS 2800,1058,100,6008,9,417,77,63,FA18
209,Michael George ,5,3,Yes,"Aug 20th, 2018",2800, CS,CS 2800,1198,97,4700,20,419,85,60,SP19
210,Michael George ,5,3,Yes,"Aug 20th, 2018",2800, CS,CS 2800,1554,96,4808,37,396,85,72,SP20
211,Michael George ,5,3,Yes,"Aug 20th, 2018",2800, CS,CS 2800,1101,96,4073,17,424,78,66,FA19
212,Michael George ,5,3,Yes,"Aug 20th, 2018",2800, CS,CS 2800,1058,100,6008,9,417,77,63,FA18
213,Michael George ,4,4,Yes,"May 26th, 2018",2800, CS,CS 2800,1198,97,4700,20,419,85,60,SP19
214,Michael George ,4,4,Yes,"May 26th, 2018",2800, CS,CS 2800,1554,96,4808,37,396,85,72,SP20
215,Michael George ,4,4,Yes,"May 26th, 2018",2800, CS,CS 2800,1101,96,4073,17,424,78,66,FA19
216,Michael George ,4,4,Yes,"May 26th, 2018",2800, CS,CS 2800,1058,100,6008,9,417,77,63,FA18
217,Michael George ,5,3,Yes,"May 25th, 2018",2800, CS,CS 2800,1198,97,4700,20,419,85,60,SP19
218,Michael George ,5,3,Yes,"May 25th, 2018",2800, CS,CS 2800,1554,96,4808,37,396,85,72,SP20
219,Michael George ,5,3,Yes,"May 25th, 2018",2800, CS,CS 2800,1101,96,4073,17,424,78,66,FA19
220,Michael George ,5,3,Yes,"May 25th, 2018",2800, CS,CS 2800,1058,100,6008,9,417,77,63,FA18
221,Michael George ,1,4,No,"May 19th, 2018",2800, CS,CS 2800,1198,97,4700,20,419,85,60,SP19
222,Michael George ,1,4,No,"May 19th, 2018",2800, CS,CS 2800,1554,96,4808,37,396,85,72,SP20
223,Michael George ,1,4,No,"May 19th, 2018",2800, CS,CS 2800,1101,96,4073,17,424,78,66,FA19
224,Michael George ,1,4,No,"May 19th, 2018",2800, CS,CS 2800,1058,100,6008,9,417,77,63,FA18
225,Michael George ,5,3,Yes,"May 12th, 2018",2800, CS,CS 2800,1198,97,4700,20,419,85,60,SP19
226,Michael George ,5,3,Yes,"May 12th, 2018",2800, CS,CS 2800,1554,96,4808,37,396,85,72,SP20
227,Michael George ,5,3,Yes,"May 12th, 2018",2800, CS,CS 2800,1101,96,4073,17,424,78,66,FA19
228,Michael George ,5,3,Yes,"May 12th, 2018",2800, CS,CS 2800,1058,100,6008,9,417,77,63,FA18
